address_street,city,state,county,zip,violation_type,status,date_opened,case_id,parcel,latitude,longitude
4323 S CONGRESS AVENUE Unit 1209,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057215 CC,0412040901,30.21845284,-97.76444964
12406 CORONET STREET,Austin,TX,Travis,78727,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057177 CC,0264080418,30.42229052,-97.71975338
907 VALDEZ STREET,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057494 CC,0306180613,30.23286485,-97.69305369
7004 BRYN MAWR COVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-05-07T00:00:00.000,2026-057179 CC,0224270410,30.31642588,-97.66671531
2601 S PLEASANT VALLEY ROAD 531,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-07T00:00:00.000,2026-057302 CC,0309061001,30.22438247,-97.72917527
7703 BIXLER DRIVE,Austin,TX,Travis,78744,Work Without Permit,Active,2026-05-07T00:00:00.000,2026-057089 CC,0332031104,30.162652,-97.74384705
8103 VIEW RIDGE DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056735 CC,0219380414,30.29869374,-97.62876128
8220 RESEARCH BLVD SERVICE ROAD UNIT 177,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056749 CC,0237100907,30.35482805,-97.71698205
1020 SPRINGDALE ROAD,Austin,TX,Travis,78721,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056468 CC,0207170215,30.26796279,-97.69428328
2720 PEGRAM AVE,Austin,TX,Travis,,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056501 CC,,,
6812 S CONGRESS AVENUE Unit 103,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056429 CC,0421100904,30.19170763,-97.7802024
2401 SAN GABRIEL STREET Unit 308,Austin,TX,Travis,78705,Property Abatement,Active,2026-05-06T00:00:00.000,2026-057018 CC,0214010703,30.28842038,-97.74746098
10500 BROWNIE DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056597 CC,0243210111,30.36997663,-97.68320033
8527 N CAPITAL OF TEXAS HIGHWAY,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056388 CC,0150050125,30.38609729,-97.76435808
1201 FORT BRANCH BOULEVARD,Austin,TX,Travis,78721,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056748 CC,0208210214,30.27442031,-97.68054759
505 SWANEE DRIVE Unit 102,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056866 CC,0231110301,30.33499879,-97.71527255
10611 MC MILLIAN DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056590 CC,0243210124,30.37205991,-97.68272755
2832 E MARTIN LUTHER KING JR BOULEVARD Unit 512,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056953 CC,0212121004,30.28196627,-97.71040594
5401 HUDSON STREET,Austin,TX,Travis,78721,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056440 CC,0208210601,30.27404248,-97.68049776
4402 HANK AVENUE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056867 CC,0410090511,30.22474893,-97.78002258
1815 MILES AVENUE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056519 CC,0417160523,30.20508528,-97.80251729
2107 ALTA VISTA AVENUE,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056638 CC,0304020320,30.23953355,-97.74543456
1011 E 16TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-06T00:00:00.000,2026-057005 CC,0209061006,30.2760379,-97.72869756
1505 WESTBURY TRAIL,Austin,TX,Travis,78758,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056538 CC,0242120601,30.36374571,-97.71271924
7113 BURNET ROAD,Austin,TX,Travis,78757,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056821 CC,0235040306,30.34745852,-97.73545167
7502 GREENHAVEN DRIVE,Austin,TX,Travis,78757,Property Abatement,Active,2026-05-06T00:00:00.000,2026-057011 CC,0237030431,30.3534591,-97.73908614
3006 CATALINA DRIVE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056516 CC,0309030304,30.22237748,-97.73689671
1601 CINNAMON PATH Unit B,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056649 CC,0404073201,30.24019827,-97.77482788
3102 GLEN ORA,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056951 CC,0404091301,30.2404594,-97.78116248
3400 HILLVIEW ROAD,Austin,TX,Travis,78703,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056657 CC,0121050308,30.31032501,-97.76501852
2832 E MARTIN LUTHER KING JR BOULEVARD Unit 551,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056454 CC,0212121004,30.28196627,-97.71040594
1611 RIDGEHAVEN DRIVE,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056704 CC,0222170202,30.31145712,-97.69481826
4100 EVEREST LANE,Austin,TX,Travis,78727,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056896 CC,0262080504,30.41809667,-97.7227486
3405 HYREEK DR,Austin,TX,Travis,78723,Property Abatement,Active,2026-05-06T00:00:00.000,2026-057019 CC,0221240913,30.30552391,-97.67057941
2317 S PLEASANT VALLEY ROAD Unit 724,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056835 CC,0308060106,30.22935819,-97.72621907
Hyatt Centric Congress Avenue Austin - 721 CONGRESS AVE,Austin,TX,Travis,78701,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-057013 CC,0206030816,30.269667,-97.74180042
5700 CAMERON ROAD Unit 126,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056391 CC,0224140219,30.31554109,-97.70229583
ESA Select Suites Austin-Northwest-Lakeline Mall - 13858 N US 183 HWY SVRD SB,Austin,TX,Travis,78750,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056601 CC,R413937,30.4664638,-97.79749916
10808 LAMBERT CIRCLE,Austin,TX,Travis,78758,Property Abatement,Active,2026-05-06T00:00:00.000,2026-057010 CC,0249150301,30.38256676,-97.70091115
1881 GROVE BOULEVARD 236,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-06T00:00:00.000,2026-056359 CC,0307130202,30.22863461,-97.70615193
11702 NATRONA DRIVE,Austin,TX,Travis,78759,Property Abatement,Active,2026-05-06T00:00:00.000,2026-056799 CC,0260040132,30.41518317,-97.74170267
1221 ALGARITA AVENUE BLDG. 10 UNIT 251,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056020 CC,0304020541,30.23738859,-97.74150413
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8547 Unit 2095,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056074 CC,0150050125,30.38609729,-97.76435808
4405 AVENUE A,Austin,TX,Travis,78751,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055643 CC,0221052001,30.3093533,-97.73237566
2100 DEADWOOD DRIVE,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055583 CC,0418010214,30.19875296,-97.75490165
6809 THORNCLIFFE DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056270 CC,0137021108,30.35197272,-97.75950155
1910 ALEGRIA ROAD,Austin,TX,Travis,78757,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055975 CC,0232040522,30.33701151,-97.73620861
7920 SAN FELIPE BOULEVARD,Austin,TX,Travis,78729,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055714 CC,R066465,30.4385441,-97.76906145
6000 GARDEN VIEW DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056084 CC,0215280641,30.29199214,-97.66107067
1127 TILLERY STREET Unit 314,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056209 CC,0206150190,30.26850965,-97.70067834
2832 E MARTIN LUTHER KING JR BOULEVARD Unit 251,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055977 CC,0212121004,30.28196627,-97.71040594
8312 STILLWOOD LANE,Austin,TX,Travis,78757,Work Without Permit,Active,2026-05-05T00:00:00.000,2026-056308 CC,0241060617,30.36619239,-97.73225423
10600 BREZZA LANE Unit 735,Austin,TX,Travis,78748,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055554 CC,0438110301,30.15028477,-97.79551523
824 CAMINO LA COSTA,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056239 CC,0229150147,30.32915471,-97.70400447
8812 LAVERTY PLACE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056137 CC,0237160708,30.35333923,-97.69626042
2904 JADEWOOD COURT,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055835 CC,0428250470,30.1778772,-97.83968077
2020 FORD STREET,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056110 CC,0102070426,30.2547427,-97.77431576
6401 SHADOW VALLEY DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056282 CC,0137020505,30.35142631,-97.7603692
2902 JADEWOOD COURT,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055839 CC,0428250469,30.17779653,-97.83949292
8203 COLONY LOOP DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056051 CC,0217380101,30.29703977,-97.62884566
922 W 12TH STREET,Austin,TX,Travis,78703,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055951 CC,0210000904,30.27709115,-97.7511139
2401 MANOR ROAD Unit 233,Austin,TX,Travis,78722,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055987 CC,0212102201,30.28437321,-97.71663299
2704 PARKER LANE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056082 CC,0307020440,30.22836965,-97.74025124
2301 LEHIGH DRIVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055665 CC,0224211113,30.31680484,-97.68087232
2105 E 8TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055793 CC,0205101504,30.26246009,-97.71887127
7734 MC KINNEY FALLS PARKWAY,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055725 CC,0334060205,30.15650271,-97.730444
1221 ALGARITA AVENUE BLDG. 15 UNIT 281,Austin,TX,Travis,78704,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056048 CC,0304020541,30.23738859,-97.74150413
3405 STECK AVENUE,Austin,TX,Travis,78757,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055672 CC,0241040623,30.36689369,-97.74040263
10606 SETTLERS TRAIL,Austin,TX,Travis,78750,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055564 CC,R067181,30.45139755,-97.80785739
6003 GARDEN VIEW DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055686 CC,0215280718,30.29130009,-97.66072536
2015 E 9TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055783 CC,0205081508,30.26347107,-97.71908469
9025 BALCONES CLUB DRIVE,Austin,TX,Travis,78750,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055613 CC,0170130413,30.44215094,-97.79332682
9200 NORTH PLAZA Unit 3107,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056320 CC,0239200804,30.35460161,-97.68584592
1201 NEANS DRIVE,Austin,TX,Travis,78758,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056007 CC,0246160201,30.37616584,-97.69926509
3803 KNOLLWOOD DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056279 CC,0137020515,30.35226145,-97.76100654
106 E GIBSON STREET,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056131 CC,0300010310,30.24978775,-97.74875216
9006 CAPITOL DRIVE,Austin,TX,Travis,78753,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056063 CC,0238180141,30.35629788,-97.69274802
6810 THORNCLIFFE DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056269 CC,0137020521,30.35140876,-97.7594944
3106 HEMPHILL PARK,Austin,TX,Travis,78705,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056324 CC,0216040103,30.29765715,-97.73948627
4307 MAUAI COVE,Austin,TX,Travis,78749,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055829 CC,0418281241,30.20492839,-97.84970706
6813 THORNCLIFFE DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056271 CC,0137021110,30.35230887,-97.7599429
6801 THORNCLIFFE DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056264 CC,0137021104,30.35155896,-97.75848193
907 E ST ELMO ROAD,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056319 CC,0412030516,30.21419653,-97.75697848
6301 SHADOW VALLEY DRIVE Unit B,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056290 CC,0136031501,30.3506785,-97.75969782
6300 E US 290 HWY SERVICE ROAD,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055555 CC,0227160208,30.3230732,-97.70063208
2832 E MARTIN LUTHER KING JR BOULEVARD Unit 447,Austin,TX,Travis,78702,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056085 CC,0212121004,30.28196627,-97.71040594
8102 VALLEYFIELD DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056088 CC,0219380102,30.29944315,-97.62869273
6810 S 1ST STREET Unit 102,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056272 CC,0419120506,30.19535891,-97.78926547
1203 EDGEWOOD AVENUE,Austin,TX,Travis,78722,Work Without Permit,Active,2026-05-05T00:00:00.000,2026-055820 CC,0214092101,30.29013023,-97.72083782
4521 S 3RD STREET,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055807 CC,0410080946,30.2195405,-97.77647082
2004 KIRKSEY DRIVE,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055559 CC,0308100304,30.23095139,-97.71748811
1603 S CONGRESS AVENUE,Austin,TX,Travis,78704,Work Without Permit,Active,2026-05-05T00:00:00.000,2026-055753 CC,0302000504,30.24748074,-97.75014123
1901 E ANDERSON LN SERVICE ROAD Unit 236,Austin,TX,Travis,78752,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056213 CC,0229210230,30.32915114,-97.68006682
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8537 Unit 1073,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056030 CC,0150050125,30.38609729,-97.76435808
7707 PEACEFUL HILL LANE,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055811 CC,0424120707,30.18251759,-97.78690324
1508 RICHCREEK ROAD,Austin,TX,Travis,78757,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056191 CC,0235080919,30.34656177,-97.72555342
1401 GLENCREST DRIVE,Austin,TX,Travis,78723,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055695 CC,0225170506,30.3185816,-97.69647167
8908 EAST DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056073 CC,0239170431,30.35576085,-97.6951191
6806 THORNCLIFFE DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056265 CC,0137020511,30.35117011,-97.75897751
BROWN LN and FERGUSON LN,Austin,TX,Travis,,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055861 CC,,,
8207 COLONY LOOP DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056050 CC,0217380103,30.2967521,-97.62863819
6501 SHADOW VALLEY DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056283 CC,0137020509,30.35187191,-97.76133089
6004 GARDEN VIEW DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055694 CC,0215280639,30.29183094,-97.66072651
4968 MENDOZA DR,Austin,TX,Travis,,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055814 CC,,,
4613 TANNEHILL LANE,Austin,TX,Travis,78721,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056300 CC,0210210901,30.28391493,-97.67048466
6208 LOST HORIZON DRIVE,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056344 CC,0158050305,30.40508642,-97.76865917
6305 SHADOW VALLEY DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056287 CC,0137020503,30.35101601,-97.759933
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8537 Unit 1074,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056034 CC,0150050125,30.38609729,-97.76435808
8845 EAST DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056107 CC,0238180230,30.35497471,-97.694741
5602 PONCIANA DRIVE,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055584 CC,0418010411,30.19637309,-97.75704534
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8537 Unit 2074,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056040 CC,0150050125,30.38609729,-97.76435808
8410 BEECH DRIVE Unit 204,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056248 CC,0239101420,30.35831527,-97.71508367
6007 JAIN LANE,Austin,TX,Travis,78721,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055561 CC,0204200858,30.25998073,-97.68253481
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8547 Unit 2096,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056077 CC,0150050125,30.38609729,-97.76435808
8116 FOREST HEIGHTS LANE,Austin,TX,Travis,78749,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055692 CC,0414360778,30.21520869,-97.86520347
6815 THORNCLIFFE DRIVE,Austin,TX,Travis,78731,Property Abatement,Active,2026-05-05T00:00:00.000,2026-056274 CC,0137021111,30.35251796,-97.7600832
2008 IROQUOIS LANE,Austin,TX,Travis,78741,Property Abatement,Active,2026-05-05T00:00:00.000,2026-055658 CC,0308041312,30.22791178,-97.73611449
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8523 Unit 1048,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-055964 CC,0150050125,30.38609729,-97.76435808
8527 N CAPITAL OF TEXAS HIGHWAY BLDG 8547 Unit 1095,Austin,TX,Travis,78759,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056067 CC,0150050125,30.38609729,-97.76435808
4501 E RIVERSIDE DRIVE BLDG 7 Unit 2042,Austin,TX,Travis,78741,Structure Condition Violation(s),Active,2026-05-05T00:00:00.000,2026-056202 CC,0307010202,30.23258831,-97.72209348
6309 TARA DRIVE,Austin,TX,Travis,78744,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055511 CC,0332030810,30.16341712,-97.74319353
7300-7411 ONION CREEK DRIVE,Austin,TX,Travis,,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055311 CC,,,
2313 SULLY CREEK DRIVE,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055491 CC,0440280208,30.14544502,-97.84966264
6708 KROLLTON DRIVE,Austin,TX,Travis,78745,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055052 CC,0415191127,30.20721282,-97.81221749
6807 SHOAL CREEK BOULEVARD,Austin,TX,Travis,78757,Property Abatement,Active,2026-05-04T00:00:00.000,2026-054914 CC,0235010712,30.34875091,-97.74509529
5426 MENCHACA ROAD Unit 230,Austin,TX,Travis,78745,Structure Condition Violation(s),Active,2026-05-04T00:00:00.000,2026-055191 CC,0414131302,30.21682944,-97.79697802
8915 GEORGIAN DRIVE,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055098 CC,0239170416,30.35658625,-97.69553418
800 W 3RD STREET Unit 1331,Austin,TX,Travis,78701,Structure Condition Violation(s),Active,2026-05-04T00:00:00.000,2026-055131 CC,0107001305,30.26836453,-97.75248798
5001 CRAINWAY DRIVE,Austin,TX,Travis,78724,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055150 CC,0226210201,30.3190283,-97.65763354
2206 NUECES STREET,Austin,TX,Travis,78705,Structure Condition Violation(s),Active,2026-05-04T00:00:00.000,2026-055291 CC,0212010347,30.28586629,-97.7441036
1713 CINNAMON PATH,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055106 CC,0404070807,30.24178443,-97.77644253
11701 METRIC BOULEVARD,Austin,TX,Travis,78758,Structure Condition Violation(s),Active,2026-05-04T00:00:00.000,2026-055413 CC,0254130549,30.39602299,-97.70513789
12608 HUNTERS CHASE DRIVE,Austin,TX,Travis,78729,Property Abatement,Active,2026-05-04T00:00:00.000,2026-054968 CC,R090254,30.44729979,-97.76995537
1417 S 1ST STREET,Austin,TX,Travis,78704,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055232 CC,0101000102,30.2501101,-97.75451232
2103 HOLLY STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055041 CC,0200080302,30.25230365,-97.72348646
600 W CADDO STREET,Austin,TX,Travis,78753,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055493 CC,0250200203,30.38556332,-97.68267994
10517 ARCHDALE DRIVE,Austin,TX,Travis,78748,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055469 CC,0436150214,30.15786783,-97.81321979
7415 VINTAGE HILLS DRIVE,Austin,TX,Travis,78723,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055421 CC,0225250847,30.31972293,-97.66655128
E CESAR CHAVEZ ST and COMAL ST,Austin,TX,Travis,,Structure Condition Violation(s),Active,2026-05-04T00:00:00.000,2026-055190 CC,,,
911 E 2ND STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055230 CC,0204050607,30.26132791,-97.73446468
2600 E 7TH STREET,Austin,TX,Travis,78702,Property Abatement,Active,2026-05-04T00:00:00.000,2026-055456 CC,0203110520,30.26097679,-97.71250195
