address_street,city,state,county,violation_type,status,date_opened,case_id,latitude,longitude
1017 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735285,32.77550449960221,-97.33276038499919
7601 JACKSBORO HWY,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735284,32.8205313880586,-97.45697945724926
3828 W 7TH ST,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-07,26-735283,32.75175737051308,-97.37536283616144
712 ELMWOOD AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735281,32.72508880134142,-97.3210903631639
1029 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735280,32.7755672084487,-97.33242390723885
12641 KATY RD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735279,32.95699250875422,-97.25471503330424
708 ELMWOOD AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735277,32.7250880425821,-97.3213203744503
2800 BRYAN AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735276,32.71119552595547,-97.32561094685862
12601 KATY RD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735275,32.955666859260425,-97.25630842371474
200 E CANTEY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735274,32.71119552595547,-97.32561094685862
4200 STAGHORN CIR S,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735273,32.87732895767279,-97.29565661049857
1031 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735271,32.7756562445513,-97.33194382491195
324 COTILLION RD,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735270,32.63768271285055,-97.32901046307026
5812 WONDER DR,Fort Worth,TX,Tarrant,Health Hazard,Open,2026-05-07,26-735269,32.65655375628944,-97.38305325001953
12608 OCEANSIDE DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735267,32.818713646864154,-97.09131271100644
1035 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735266,32.77568820214955,-97.33176221001862
5340 WESTMINSTER CT N,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735265,32.655518091094436,-97.40364658961883
2840 TRAVIS AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735263,32.70984414634225,-97.33327946858734
12610 OCEANSIDE DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735262,32.818718436949574,-97.09124127416156
0000 KATY RD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735260,0,0
5505 ODOM AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735258,32.74878082584228,-97.4044986206546
3500 DONALEE ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735255,32.7113964260527,-97.26758002903348
1045 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735253,32.77571682094914,-97.33155699220349
3301 MESQUITE RD,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-07,26-735252,32.80394624053497,-97.2930958185397
5424 WALES AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735251,32.66735733188541,-97.38490769899403
4001 REED ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735250,32.71031638169321,-97.26702199505166
2900 COLLEGE AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735249,32.70942616058228,-97.33588817124651
4013 WIMAN DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735247,32.70946390141744,-97.26626358077937
1112 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735246,32.77528108778588,-97.33130170637389
2414 CLINTON AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735244,32.7892103108035,-97.35255589040038
1028 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735243,32.77526288675855,-97.33147790600223
3221 SCHIEFFER AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735242,32.703952195649045,-97.31735303630067
3717 HULEN PARK CIR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735241,32.62386749796097,-97.3728569686705
1020 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735238,32.77520753570221,-97.33179042283142
4801 MILLER AVE,Fort Worth,TX,Tarrant,Zoning - Commercial,Open,2026-05-07,26-735237,32.691892397080025,-97.26283877566837
7324 HYDE CT,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735236,32.738881989003104,-97.20353335388059
3201 MITCHELL BLVD,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-07,26-735235,32.71413336027805,-97.28847033339022
2315 N HOUSTON ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735233,32.787375630311374,-97.3520180554538
4616 TIMKEN TR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735232,32.88923089959704,-97.28729764016006
8304 DEER BLUFF LN,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735230,32.878052177284495,-97.41734985325003
1024 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735229,32.77523510533433,-97.33163414082044
7321 HYDE CT,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735227,32.73916401159801,-97.20352468830143
2317 N HOUSTON ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735226,32.78751079242692,-97.35201728353191
1016 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735225,32.77515013227177,-97.33209922688589
2822 MURPHY ST,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735223,32.77476652887412,-97.30512509213358
8604 HERON DR,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-07,26-735222,32.78850577703052,-97.46238824536101
612 E RAMSEY AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735221,32.717069842966005,-97.3215519768775
1014 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735220,32.77512107304279,-97.33225463508407
4017 WIMAN DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735218,32.70946307334389,-97.26609781202954
7301 HYDE CT,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735215,32.739273482038506,-97.20452306837458
1012 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735213,32.775091756665574,-97.33241046390272
600 E RAMSEY AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735212,32.717064856569245,-97.32204421832807
205 MC GEE DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735211,32.75817378214544,-97.4020582368347
1004 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735209,32.77503308540842,-97.33272183793777
5600 SHORE POINT TR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735208,32.68350178409705,-97.23608819208279
601 E RAMSEY AVE,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735206,32.71764958639255,-97.32182827635975
3008 CREEKWOOD LN,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735205,32.63013748142136,-97.36559960594734
5349 CONROY ST,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-07,26-735204,32.66648766291528,-97.31306643758434
1000 NE 10TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735203,32.77502505036364,-97.33288524092853
3204 BONNIE BRAE AVE,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-07,26-735202,32.802827467841766,-97.29965520580454
7605 PLAZA RDG,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735201,32.88148626481595,-97.44461114027153
800 ATLANTA ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735200,32.71764958639255,-97.32182827635975
5012 GLENSCAPE TR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735199,32.86530903422976,-97.27517793290548
4900 E LANCASTER AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735198,32.73996643498042,-97.24968403119229
522 N SYLVANIA AVE,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-07,26-735194,32.77206002624373,-97.30849518469168
2201 ANNABELLE LN,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735192,32.69935695489522,-97.30014538539422
1232 W BEDDELL ST,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-07,26-735190,32.682977407109114,-97.33835877830467
3148 CHILDRESS ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735189,32.701217156458014,-97.28112626987993
2301 ANNABELLE LN,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-07,26-735186,32.69828138904311,-97.2992765126067
4209 JACKSON ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735182,32.702404656118794,-97.28085157400602
1925 ST LOUIS AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735181,32.72260187192537,-97.32788855733696
4240 JACKSON ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735179,32.70167255499356,-97.28123940727266
2521 MALVERN TR,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735177,32.71201445776603,-97.29069254021715
3137 CHILDRESS ST,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-07,26-735176,32.701801556309476,-97.28171254129286
3136 CHILDRESS ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735175,32.701263910134166,-97.28221950327011
800 NELSON PL,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-07,26-735174,32.58987804665101,-97.30550273071992
2820 WESTHILL RD,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-07,26-735173,32.7171828031865,-97.28683185578566
4758 EVANS AVE,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-06,26-735172,32.677721486711896,-97.31925869516733
3132 CHILDRESS ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735171,32.70066782355773,-97.28285147422564
4215 JACKSON ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735170,32.701983556273674,-97.28068170513053
4232 TRUELAND DR,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735169,32.70187308561856,-97.28344024143858
4228 TRUELAND DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735168,32.70204455948975,-97.28352969962472
3017 THANNISCH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735167,32.7154836132211,-97.28114610834469
1008 SOUTH FWY,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735166,32.73375923427947,-97.32113921139361
3779 TOWNSEND DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735165,32.692990101436415,-97.3491492031697
2921 STRONG AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735163,32.71644106528759,-97.28275839086677
1004 SOUTH FWY,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735162,32.73389669663241,-97.32113925509394
5733 WHITMAN AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735160,32.660373451688024,-97.38596169721154
3517 AVE J,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735157,32.72736324094757,-97.27412338812148
944 E BERRY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735155,32.705568578884225,-97.31612016601332
2925 STRONG AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735153,32.716433966136556,-97.28259085177048
4844 CARROTWOOD DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735152,32.948922868992256,-97.27829302608629
610 LONEY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735151,32.7387922130893,-97.30728976901574
3755 GALVEZ AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735150,32.762534967959766,-97.29223465325269
5720 WHITMAN AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735149,32.66121156957842,-97.38595857565106
4061 CLAYMORE LN,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735148,32.961392676040035,-97.27368761832028
3250 LAKE COMO DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735147,32.72814741544924,-97.40210902551051
614 LONEY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735146,32.73863823055152,-97.30726417915112
3504 TOWNSEND DR,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735145,32.69830903206185,-97.3497966933938
3204 WILLING AVE,Fort Worth,TX,Tarrant,Health Hazard,Open,2026-05-06,26-735144,32.70385847911695,-97.3420775317287
5670 ODESSA AVE,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735141,32.663760580442194,-97.36109473767638
5800 WALTHAM AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735140,32.661979689526824,-97.38917534843
1108 E HATTIE ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735137,32.73773357481905,-97.31351745137785
412 MAGMA DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735136,32.9140931005761,-97.3667068801551
4008 DOGWOOD LN,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735134,32.869265706220446,-97.2963931569152
5015 DRAPER RIDGE DR,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735133,32.86667052513447,-97.40330817353767
5506 HOUGHTON AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735131,32.72669068080146,-97.40490015014996
1116 E RAMSEY AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735129,32.71711355613803,-97.31307833922202
2709 CRENSHAW AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735128,32.718364891895995,-97.28571981173283
3609 HARLEY AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735127,32.742065912121696,-97.37057719374826
7216 FULLER CIR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735126,32.6417538211044,-97.39347322136207
3000 SCHADT ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735125,32.79785549788505,-97.33535177590942
3315 CHENAULT ST,Fort Worth,TX,Tarrant,Zoning - Residential,Open,2026-05-06,26-735122,32.764529895169865,-97.29966751513072
1840 GREENFIELD AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735121,32.771444776537244,-97.3214127674046
1017 MARION AVE,Fort Worth,TX,Tarrant,Health Hazard,Open,2026-05-06,26-735120,32.71675451929585,-97.31486310206003
2906 FITZHUGH AVE,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735117,32.71687165940224,-97.28323998549233
1825 GREENFIELD AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735115,32.7715409581342,-97.32221568453973
2400 MONTGOMERY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735112,32.7358733821784,-97.37017215832556
2916 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735109,32.716866626669976,-97.28293128900779
928 E BERRY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735107,32.70557483774513,-97.31709936888923
4906 E LANCASTER AVE,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735106,32.74015881153174,-97.24926731128262
1321 HEMPHILL ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735105,32.7297700802337,-97.33117788115106
1317 HEMPHILL ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735104,32.72991199374582,-97.33117736455674
1200 E BERRY ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735103,32.705072708111935,-97.31202941835146
3625 CHILDRESS ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735102,32.70207886946624,-97.27033476481782
1714 GREENFIELD AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735101,32.7702780590141,-97.3238329557705
2832 BIDEKER AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735097,32.71876791249023,-97.284052240713
3219 E 4TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735096,32.7636757093417,-97.30070343724515
3217 E 4TH ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735095,32.76363903681853,-97.30086305348385
2129 GREEN HILL CIR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735094,32.74678016552761,-97.24154106214843
3757 PATE DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735093,32.70687118708479,-97.2600716232501
9901 CARAVELLE CT,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735092,32.747011513041315,-97.49362106297828
3032 SPRINGDALE RD,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735091,32.78764783951937,-97.30219634721256
8640 RAINY LAKE DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735090,32.89869172225333,-97.30028871203349
1401 S ADAMS ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735089,32.72924310578013,-97.33655856156533
307 W 7TH ST,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-06,26-735088,32.75136199552086,-97.33189073145219
4621 RIVERPARK DR,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735085,32.87121529692556,-97.28558855274518
2928 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735084,32.71686343357753,-97.28244193420328
1829 LANGSTON ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735082,32.724916158191334,-97.25153786807418
4125 STONE HOLLOW WAY,Fort Worth,TX,Tarrant,Substandard Building,Open,2026-05-06,26-735081,32.82445035840783,-97.07174546405028
1115 STELLA ST,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735080,32.741173555190834,-97.31337006152098
1824 LANGSTON ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735079,32.725159348873866,-97.2529555364077
2934 FITZHUGH AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735078,32.71686204891141,-97.28227975456655
11050 DORFAN ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735077,32.75429876679245,-97.51799137672279
1725 LANGSTON ST,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735075,32.72554675016314,-97.2515160464892
3013 STRONG AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735074,32.716429740848895,-97.28145112893044
3000 FITZHUGH AVE,Fort Worth,TX,Tarrant,Vehicle,Open,2026-05-06,26-735073,32.71685251393835,-97.28178177000451
6400 GREENWAY RD,Fort Worth,TX,Tarrant,High Grass/Weeds,Open,2026-05-06,26-735071,32.72681321037355,-97.4238112303968
2824 BIDEKER AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735068,32.71876880724548,-97.28438226317066
3111 STRONG AVE,Fort Worth,TX,Tarrant,Property Maintenance,Open,2026-05-06,26-735067,32.71642532762084,-97.28064108443591
